,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2019 Honda Civic LX,"20,465","Phoenix, AZ 85014",4.3, Gasoline,30,38, FWD, 2.0L I4 16V MPFI DOHC, Polished Metal Metallic, Gray, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$18,400"
1,Certified 2019 Nissan Sentra S,"32,220","Phoenix, AZ 85014",3.9, Gasoline,27,35, FWD, 1.8L I4 16V MPFI DOHC, Super Black, Charcoal, Automatic Xtronic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$13,153"
2, 2018 Volkswagen Atlas 3.6L SE,"32,220","Scottsdale, AZ 85251",4.5, Gasoline,17,23, AWD, 3.6L V6 24V GDI DOHC, Pure White, Shetland Beige, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$27,722"
3, 2019 Mercedes-Benz GLS 450 Base 4MATIC,"12,765","Tempe, AZ 85281",4.2, Gasoline,16,22, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Black, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$60,990"
4, 2018 Volvo XC90 T5 Momentum,"45,916","Tempe, AZ 85281",4.2, Gasoline,22,29, FWD, 2.0L I4 16V GDI DOHC Turbo, White, Beige, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$33,990"
5, 2018 Honda CR-V EX,"26,370","Scottsdale, AZ 85257",2.4, Gasoline,28,34, FWD, 1.5L I4 16V GDI DOHC Turbo, Obsidian Blue Pearl, Ivory, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$21,953"
6, 2018 GMC Terrain SLE,"28,241","Phoenix, AZ 85014",4.3, Gasoline,26,30, FWD, 1.5L I4 16V GDI DOHC Turbo, Satin Steel Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$18,300"
7, 2019 Honda Accord LX,"15,277","Phoenix, AZ 85014",4.3, Gasoline,30,38, FWD, 1.5L I4 16V GDI DOHC Turbo, Champagne Frost Pearl, Ivory, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$19,990"
8, 2018 Mercedes-Benz S 450,"19,320","Scottsdale, AZ 85257",4.9, Gasoline,19,28, RWD, 3.0L V6 24V GDI DOHC Twin Turbo, Anthracite Blue Metallic, Silk Beige / Espresso Brown, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$64,000"
9,Certified 2018 Toyota Tundra SR5,"58,972","Phoenix, AZ 85014",4, Gasoline,13,17, 4WD, 5.7L V8 32V MPFI DOHC, Cement, Graphite, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$41,404"
