,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2020 Toyota RAV4 LE,"23,853","Garden Grove, CA 92843",4.4, Gasoline,27,35, FWD, 2.5L I4 16V PDI DOHC, Silver, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$23,433"
1, 2018 Audi Q3 2.0T Premium,"28,297","Garden Grove, CA 92843",4.4, Gasoline,20,28, FWD, 2.0L I4 16V GDI DOHC Turbo, Mythos Black Metallic, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$23,464"
2, 2019 Alfa Romeo Giulia Base,"11,553","Garden Grove, CA 92843",4.4, Gasoline,24,33, RWD, 2.0L I4 16V GDI SOHC Turbo, Vesuvio Gray Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$26,918"
3, 2017 Chevrolet Silverado 1500 1LT,"46,775","Garden Grove, CA 92843",4.4, Gasoline,17,22, RWD, 5.3L V8 16V GDI OHV, Black, Jet Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$31,971"
4, 2019 Alfa Romeo Giulia Base,"28,159","Garden Grove, CA 92843",4.4, Gasoline,24,33, RWD, 2.0L I4 16V GDI SOHC Turbo, Alfa White, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$25,294"
5, 2017 Lexus RX 350 350,"19,970","Garden Grove, CA 92843",4.4, Gasoline,20,27, FWD, 3.5L V6 24V GDI DOHC, Gray, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$32,772"
6, 2018 Nissan Maxima 3.5 SV,"28,471","Anaheim, CA 92801",3.7, Gasoline,21,30, FWD, 3.5L V6 24V MPFI DOHC, Gun Metallic, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$20,290"
7, 2017 Lexus GS 350 Base,"76,402","Midway City, CA 92655",4.1, Gasoline,20,28, RWD, 3.5L V6 24V PDI DOHC, Smoky Granite Mica, Gray, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$26,995"
8, 2020 Jeep Wrangler Unlimited Sport,"27,562","Huntington Beach, CA 92647",3.7, Gasoline,17,23, 4WD, 2.0L I4 16V GDI DOHC Turbo, Billet Silver Metallic Clearcoat, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$33,811"
9, 2020 Chevrolet Equinox 1LT,"28,259","Huntington Beach, CA 92647",3.7, Gasoline,25,30, AWD, 1.5L I4 16V GDI DOHC Turbo, Silver Ice Metallic, Medium Ash Gray, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$19,968"
