,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2017 Honda CR-V EX-L,"18,575","Citrus Heights, CA 95621",4.7, Gasoline,27,33, AWD, 1.5L I4 16V GDI DOHC Turbo,-1,-1, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$30,779"
1, 2019 BMW M5 Base,"14,105","Sacramento, CA 95821",4.9, Gasoline,15,21, AWD, 4.4L V8 32V GDI DOHC Twin Turbo, Donington Gray Metallic, Smoke White / Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$87,890"
2, 2018 Lexus RX 450h F Sport,"14,075","Sacramento, CA 95825",4.5, Hybrid,31,28, AWD, 3.5L V6 24V MPFI DOHC Hybrid, Ultra White, Red, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$47,785"
3, 2017 Jaguar XF 35t Prestige,"13,820","Sacramento, CA 95825",5, Gasoline,20,29, RWD, 3.0L V6 24V GDI DOHC Supercharged, Ultimate Black, Jet / Jet, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$31,250"
4,Certified 2018 Land Rover Discovery Sport HSE,"43,432","Sacramento, CA 95825",5, Gasoline,21,25, 4WD, I4, Fuji White, Almond / Ebony, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$34,500"
5,Certified 2017 Land Rover Discovery Sport HSE,"36,008","Sacramento, CA 95825",5, Gasoline,20,25, 4WD, 2.0L I4 16V GDI DOHC Turbo, Lorie Blue, Almond / Ebony, 9-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$32,750"
6, 2019 Honda Passport EX-L,"12,550","Sacremento, CA 95815",3, Gasoline,20,25, FWD, 3.5L V6 24V GDI SOHC, White, Black, 9-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$29,800"
7, 2018 Honda CR-V EX-L,"18,144","Sacremento, CA 95815",3, Gasoline,27,33, AWD, 1.5L I4 16V GDI DOHC Turbo, White, Ivory, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$26,950"
8, 2020 Jaguar E-PACE SE,"6,580","Sacramento, CA 95825",5, Gasoline,21,28, AWD, I4, Fuji White, Ebony / Ebony, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$47,750"
9, 2019 Honda Accord Hybrid Touring,"17,170","Sacremento, CA 95815",3, Hybrid,48,48, FWD, 2.0L I4 16V MPFI DOHC Hybrid, White, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$29,950"
