,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"10,854","Brooklyn, NY 11203",3.5, Gasoline,17,22, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Black, Espresso Brown, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$70,542"
1, 2018 BMW X5 sDrive35i,"18,248","Brooklyn, NY 11203",3.5, Gasoline,18,25, RWD, 3.0L I6 24V GDI DOHC Turbo, Carbon Black Metallic, Mocha, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$40,020"
2, 2018 Acura MDX 3.5L w/Technology Package,"12,255","Brooklyn, NY 11210",3.5, Gasoline,18,26, AWD, 3.5L V6 24V GDI SOHC, Crystal Black,-1, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$36,729"
3, 2016 Acura MDX 3.5L,"68,048","Brooklyn, NY 11210",3.5, Gasoline,18,26, AWD, 3.5L V6 24V GDI SOHC, Crystal Black Pearl,-1, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$23,272"
4, 2013 Ford Explorer Limited,"127,099","Brooklyn, NY 11230",5, Gasoline,17,23, 4WD, 3.5L V6 24V MPFI DOHC, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']",['Stability Control'],"$12,500"
5, 2012 BMW 528 i xDrive,"98,736","Brooklyn, NY 11215",3.3, Gasoline,22,32, AWD, 2.0L I4 16V GDI DOHC Turbo, Black,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$10,995"
6, 2017 Chevrolet Suburban LT,"31,117","Brooklyn, NY 11234",4.8, Gasoline,15,22, 4WD, 5.3L V8 16V GDI OHV, Black, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$39,999"
7, 2017 BMW X1 xDrive 28i,"12,120","Woodside, NY 11377",4.6, Gasoline,22,31, AWD, 2.0L I4 16V GDI DOHC Turbo, Mineral Gray Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$25,000"
8, 2017 Lexus RX 350 350,"21,522","Queens, NY 11101",3.4, Gasoline,19,26, AWD, 3.5L V6 24V GDI DOHC, Blue,-1, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$26,895"
9, 2019 Cadillac XT4 Premium Luxury,"14,825","Long Island City, NY 11101",3.2, Gasoline,22,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Autumn Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$34,800"
10, 2017 Mercedes-Benz GLE 350 Base 4MATIC,"25,355","Queens, NY 11101",3.4, Gasoline,18,23, AWD, 3.5L V6 24V GDI DOHC, Black,-1, 7-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$28,299"
11, 2019 Mercedes-Benz GLS 450 Base 4MATIC,"31,653","Queens, NY 11101",3.4, Gasoline,16,22, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Black,-1, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$37,320"
12, 2021 Chevrolet Malibu LT,"7,917","Queens, NY 11101",3.4, Gasoline,29,36, FWD, 1.5L I4 16V GDI DOHC Turbo, Mosaic Black Metallic, Jet Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$11,589"
13, 2019 Acura TLX V6 Technology & A-Spec,"28,637","Woodside, NY 11377",1.1, Gasoline,20,304, FWD, 3.5L V6 24V GDI SOHC, White, Red, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$24,950"
